dimensions,width,height
"(866, 649)",866,649
"(806, 604)",806,604
"(827, 620)",827,620
"(868, 651)",868,651
"(834, 625)",834,625
"(840, 630)",840,630
"(1388, 1041)",1388,1041
"(896, 672)",896,672
"(1157, 867)",1157,867
"(814, 610)",814,610
"(861, 645)",861,645
"(828, 621)",828,621
"(895, 671)",895,671
"(1367, 1025)",1367,1025
"(1401, 1050)",1401,1050
"(865, 648)",865,648
"(1489, 1116)",1489,1116
"(1171, 878)",1171,878
"(882, 661)",882,661
"(1443, 1082)",1443,1082
"(1392, 1044)",1392,1044
"(881, 660)",881,660
"(1128, 846)",1128,846
"(1323, 992)",1323,992
"(1399, 1049)",1399,1049
"(1245, 933)",1245,933
"(895, 671)",895,671
"(1401, 1050)",1401,1050
"(1406, 1054)",1406,1054
"(1286, 964)",1286,964
"(1368, 1026)",1368,1026
"(815, 611)",815,611
"(866, 649)",866,649
"(890, 667)",890,667
"(858, 643)",858,643
"(1373, 1029)",1373,1029
"(1397, 1047)",1397,1047
"(1412, 1059)",1412,1059
"(824, 618)",824,618
"(1303, 977)",1303,977
"(1166, 874)",1166,874
"(829, 621)",829,621
"(826, 619)",826,619
"(1449, 1086)",1449,1086
"(1452, 1089)",1452,1089
"(1209, 906)",1209,906
"(896, 672)",896,672
"(823, 617)",823,617
"(878, 658)",878,658
"(1154, 865)",1154,865
"(814, 610)",814,610
"(1334, 1000)",1334,1000
"(819, 614)",819,614
"(1263, 947)",1263,947
"(878, 658)",878,658
"(1217, 912)",1217,912
"(855, 641)",855,641
"(884, 663)",884,663
"(826, 619)",826,619
"(843, 632)",843,632
"(861, 645)",861,645
"(832, 624)",832,624
"(817, 612)",817,612
"(848, 636)",848,636
"(1118, 838)",1118,838
"(1351, 1013)",1351,1013
"(832, 624)",832,624
"(1295, 971)",1295,971
"(810, 607)",810,607
"(1245, 933)",1245,933
"(1452, 1089)",1452,1089
"(864, 648)",864,648
"(1105, 828)",1105,828
"(1409, 1056)",1409,1056
"(1391, 1043)",1391,1043
"(889, 666)",889,666
"(1216, 912)",1216,912
"(1290, 967)",1290,967
"(1113, 834)",1113,834
"(1264, 948)",1264,948
"(862, 646)",862,646
"(1252, 939)",1252,939
"(1435, 1076)",1435,1076
"(858, 643)",858,643
"(1405, 1053)",1405,1053
"(1260, 945)",1260,945
"(864, 648)",864,648
"(807, 605)",807,605
"(1319, 989)",1319,989
"(1380, 1035)",1380,1035
"(836, 627)",836,627
"(829, 621)",829,621
"(900, 675)",900,675
"(1306, 979)",1306,979
"(1425, 1068)",1425,1068
"(801, 600)",801,600
"(1278, 958)",1278,958
"(1162, 871)",1162,871
"(806, 604)",806,604
"(1264, 948)",1264,948
"(802, 601)",802,601
"(837, 627)",837,627
"(1441, 1080)",1441,1080
"(1425, 1068)",1425,1068
"(842, 631)",842,631
"(1259, 944)",1259,944
"(831, 623)",831,623
"(878, 658)",878,658
"(816, 612)",816,612
"(877, 657)",877,657
"(1106, 829)",1106,829
"(1221, 915)",1221,915
"(1486, 1114)",1486,1114
"(1205, 903)",1205,903
"(1212, 909)",1212,909
"(855, 641)",855,641
"(1412, 1059)",1412,1059
"(881, 660)",881,660
"(842, 631)",842,631
"(896, 672)",896,672
"(1123, 842)",1123,842
"(1457, 1092)",1457,1092
"(1351, 1013)",1351,1013
"(896, 672)",896,672
"(1103, 827)",1103,827
"(1219, 914)",1219,914
"(1222, 916)",1222,916
"(842, 631)",842,631
"(1369, 1026)",1369,1026
"(851, 638)",851,638
"(1298, 973)",1298,973
"(830, 622)",830,622
"(1324, 993)",1324,993
"(1295, 971)",1295,971
"(1268, 951)",1268,951
"(1483, 1112)",1483,1112
"(1432, 1074)",1432,1074
"(876, 657)",876,657
"(1316, 987)",1316,987
"(1366, 1024)",1366,1024
"(1489, 1116)",1489,1116
"(826, 619)",826,619
"(1159, 869)",1159,869
"(832, 624)",832,624
"(1332, 999)",1332,999
"(800, 600)",800,600
"(822, 616)",822,616
"(870, 652)",870,652
"(1343, 1007)",1343,1007
"(839, 629)",839,629
"(1347, 1010)",1347,1010
"(851, 638)",851,638
"(1378, 1033)",1378,1033
"(856, 642)",856,642
"(879, 659)",879,659
"(1194, 895)",1194,895
"(1405, 1053)",1405,1053
"(888, 666)",888,666
"(893, 669)",893,669
"(1451, 1088)",1451,1088
"(1230, 922)",1230,922
"(1308, 981)",1308,981
"(805, 603)",805,603
"(842, 631)",842,631
"(1261, 945)",1261,945
"(839, 629)",839,629
"(876, 657)",876,657
"(1154, 865)",1154,865
"(857, 642)",857,642
"(1241, 930)",1241,930
"(839, 629)",839,629
"(1429, 1071)",1429,1071
"(898, 673)",898,673
"(1408, 1056)",1408,1056
"(868, 651)",868,651
"(1429, 1071)",1429,1071
"(1218, 913)",1218,913
"(831, 623)",831,623
"(1171, 878)",1171,878
"(1327, 995)",1327,995
"(819, 614)",819,614
"(1360, 1020)",1360,1020
"(1109, 831)",1109,831
"(1403, 1052)",1403,1052
"(812, 609)",812,609
"(1452, 1089)",1452,1089
"(1344, 1008)",1344,1008
"(802, 601)",802,601
"(1119, 839)",1119,839
"(1238, 928)",1238,928
"(1461, 1095)",1461,1095
"(1144, 858)",1144,858
"(806, 604)",806,604
"(1285, 963)",1285,963
"(858, 643)",858,643
"(844, 633)",844,633
"(1356, 1017)",1356,1017
"(1194, 895)",1194,895
"(869, 651)",869,651
"(883, 662)",883,662
"(808, 606)",808,606
"(1402, 1051)",1402,1051
"(865, 648)",865,648
"(1230, 922)",1230,922
"(898, 673)",898,673
"(1467, 1100)",1467,1100
"(1417, 1062)",1417,1062
"(896, 672)",896,672
"(886, 664)",886,664
"(809, 606)",809,606
"(1378, 1033)",1378,1033
"(1450, 1087)",1450,1087
"(1364, 1023)",1364,1023
"(896, 672)",896,672
"(839, 629)",839,629
"(890, 667)",890,667
"(881, 660)",881,660
"(1477, 1107)",1477,1107
"(821, 615)",821,615
"(1406, 1054)",1406,1054
"(1491, 1118)",1491,1118
"(815, 611)",815,611
"(805, 603)",805,603
"(1378, 1033)",1378,1033
"(1388, 1041)",1388,1041
"(1466, 1099)",1466,1099
"(824, 618)",824,618
"(1380, 1035)",1380,1035
